         4913920 function calls (4584492 primitive calls) in 13.935 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2048    0.005    0.000    0.387    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\vec_env\base_vec_env.py:198(step)
     2505    0.017    0.000    0.384    0.000 F:\Ventura\env\Lib\site-packages\ta\volatility.py:57(average_true_range)
     2048    0.033    0.000    0.381    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\vec_env\dummy_vec_env.py:55(step_wait)
     2368    0.005    0.000    0.381    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\distributions.py:291(log_prob)
     4873    0.379    0.000    0.379    0.000 {method 'logsumexp' of 'torch._C.TensorBase' objects}
     2368    0.059    0.000    0.375    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\categorical.py:137(log_prob)
      320    0.002    0.000    0.374    0.001 F:\Ventura\env\Lib\site-packages\torch\_tensor.py:525(backward)
      320    0.003    0.000    0.372    0.001 F:\Ventura\env\Lib\site-packages\torch\autograd\__init__.py:242(backward)
        1    0.000    0.000    0.368    0.368 F:\Ventura\env\Lib\site-packages\torch\distributed\fsdp\_fsdp_extensions.py:1(<module>)
      320    0.005    0.000    0.367    0.001 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:719(evaluate_actions)
      848    0.358    0.000    0.358    0.000 {built-in method io.open_code}
1963/1917    0.059    0.000    0.357    0.000 {built-in method builtins.__build_class__}
      320    0.002    0.000    0.354    0.001 F:\Ventura\env\Lib\site-packages\torch\autograd\graph.py:816(_engine_run_backward)
     2819    0.007    0.000    0.354    0.000 <frozen genericpath>:16(exists)
      320    0.352    0.001    0.352    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
      848    0.005    0.000    0.335    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      848    0.327    0.000    0.327    0.000 {built-in method marshal.loads}
     4874    0.020    0.000    0.297    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:122(extract_features)
     4553    0.009    0.000    0.289    0.000 F:\Ventura\env\Lib\site-packages\gymnasium\wrappers\order_enforcing.py:52(step)
      879    0.016    0.000    0.288    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
      274    0.001    0.000    0.287    0.001 E:\Python311\Lib\dataclasses.py:1212(wrap)
      274    0.021    0.000    0.286    0.001 E:\Python311\Lib\dataclasses.py:884(_process_class)
        1    0.000    0.000    0.286    0.286 F:\Ventura\env\Lib\site-packages\torch\distributed\fsdp\_shard_utils.py:1(<module>)
     2505    0.013    0.000    0.286    0.000 F:\Ventura\env\Lib\site-packages\ta\momentum.py:53(rsi)
        1    0.000    0.000    0.284    0.284 F:\Ventura\env\Lib\site-packages\torch\distributed\tensor\__init__.py:1(<module>)
        1    0.000    0.000    0.282    0.282 F:\Ventura\env\Lib\site-packages\torch\distributed\tensor\_ops\__init__.py:1(<module>)
     4553    0.009    0.000    0.280    0.000 F:\Ventura\env\Lib\site-packages\gymnasium\wrappers\env_checker.py:45(step)
        1    0.000    0.000    0.277    0.277 F:\Ventura\env\Lib\site-packages\torch\_dynamo\polyfills\loader.py:1(<module>)
  2669/15    0.004    0.000    0.276    0.018 E:\Python311\Lib\importlib\__init__.py:108(import_module)
